smartwatch,sentiment_score
Amazfit reviews.csv,1.0
Fitbit reviews.csv,1.0
Fossil reviews.csv,1.0
Garmin reviews.csv,1.0
Huawei reviews.csv,1.0
Oneplus reviews.csv,-0.8159
Samsung reviews.csv,1.0
Ticwatch reviews.csv,1.0
Xiaomi reviews.csv,0.9997
Apple reviews.csv,1.0
